latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit,gpp_value,npp_value,r_value
-8.7832,psygmophilum,7.263569765151516e-5,39.31735768778696,22,npp,russnak2021,53,,7.263569765151516e-5,-2.48E-05
-8.7832,psygmophilum,7.138694640151515e-5,39.052727987717724,24,npp,russnak2021,53,,7.138694640151515e-5,-2.73E-05
-8.7832,psygmophilum,5.265567765151515e-5,38.79163670917708,26,npp,russnak2021,53,,5.265567765151515e-5,-3.10E-05
-8.7832,psygmophilum,5.7650682651515155e-5,38.53401335397749,28,npp,russnak2021,53,,5.7650682651515155e-5,-3.85E-05
-8.7832,psygmophilum,5.265567765151515e-5,38.27978928434875,30,npp,russnak2021,53,,5.265567765151515e-5,-4.22E-05
-8.7832,psygmophilum,4.3914418901515153e-5,38.028897661970575,32,npp,russnak2021,53,,4.3914418901515153e-5,-4.47E-05
-8.7832,psygmophilum,3.0178155178030305e-5,37.781273389387344,34,npp,russnak2021,53,,3.0178155178030305e-5,-4.60E-05
21.4691,linucheae,6.172476056818182e-5,39.58559823145258,20,npp,russnak2021,54,,6.172476056818182e-5,-1.91E-05
21.4691,linucheae,5.622939238636364e-5,39.31735768778696,22,npp,russnak2021,54,,5.622939238636364e-5,-1.99E-05
21.4691,linucheae,5.230412939393941e-5,39.052727987717724,24,npp,russnak2021,54,,5.230412939393941e-5,-2.31E-05
21.4691,linucheae,4.916391897727272e-5,38.79163670917708,26,npp,russnak2021,54,,4.916391897727272e-5,-2.62E-05
21.4691,linucheae,4.7593813787878796e-5,38.53401335397749,28,npp,russnak2021,54,,4.7593813787878796e-5,-2.86E-05
21.4691,linucheae,4.6808761174242434e-5,38.27978928434875,30,npp,russnak2021,54,,4.6808761174242434e-5,-2.93E-05
21.4691,linucheae,3.9743287803030304e-05,38.028897661970575,32,npp,russnak2021,54,,3.9743287803030304e-05,-3.01E-05
21.4691,linucheae,3.0322656617424243e-5,37.781273389387344,34,npp,russnak2021,54,,3.0322656617424243e-5,-3.09E-05
25.098,spp,7.836306500946969e-5,38.92174449622782,25,npp,goulet2005,5,,7.836306500946969e-5,-1.42E-05
25.098,spp,7.135702688210227e-5,38.028897661970575,32,npp,goulet2005,5,,7.135702688210227e-5,-2.80E-05
25.098,spp,3.45524906841856e-5,37.781273389387344,34,npp,goulet2005,5,,3.45524906841856e-5,-7.54E-05
