tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,sd_molgCmin,temp,cnidarian_type,metabolic_category,study_id
5_castillohelmuth2005,shallow,hard,16.1,annularis,6.966814951727641e-11,NA,35,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,6.966814951727641e-11,NA,35,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,1.594121261432927e-10,NA,29,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,1.6580369949186993e-10,NA,29,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,1.7858684618902437e-10,NA,29,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,3.583472271341463e-10,NA,31,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,3.711303737296748e-10,NA,31,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,4.190671740345528e-10,NA,31,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,4.1320997815040645e-10,NA,32,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,4.547552047764227e-10,NA,32,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,4.643425647865853e-10,NA,32,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,3.785907019817073e-10,NA,33,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,3.785907019817073e-10,NA,33,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,4.84051662347561e-10,NA,33,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,2.0974838577235774e-10,NA,34,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,2.544893991361789e-10,NA,34,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,2.9603462601626013e-10,NA,34,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,2.492713606453252e-11,NA,35,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,3.4514496087398375e-11,NA,35,hermatypic coral,gpp,castillohelmuth2005
6_castillohelmuth2005,shallow,hard,16.1,annularis,5.3689216133130083e-11,NA,35,hermatypic coral,gpp,castillohelmuth2005
1_silbiger2019,shallow,hard,9.14,franksi,2.6442221943089433e-10,NA,21,hermatypic coral,gpp,silbiger2019
1_silbiger2019,shallow,hard,9.14,franksi,2.833156863414634e-10,NA,26,hermatypic coral,gpp,silbiger2019
1_silbiger2019,shallow,hard,9.14,franksi,4.940757112195122e-10,NA,28,hermatypic coral,gpp,silbiger2019
1_silbiger2019,shallow,hard,9.14,franksi,3.2722734479674795e-10,NA,29,hermatypic coral,gpp,silbiger2019
1_silbiger2019,shallow,hard,9.14,franksi,3.5282035447154466e-10,NA,30,hermatypic coral,gpp,silbiger2019
1_silbiger2019,shallow,hard,9.14,franksi,3.416535173170731e-10,NA,31,hermatypic coral,gpp,silbiger2019
