tpc_grp,response_id,study_id,elevation_broad,lichen_type,latitude,species,inv_T,mol_gCmin,metabolic_category
1_sundberg1997,1,sundberg1997,neutral,cyanobacteria + green algae,64.14,pulmonaria,41.12889640811739,0.00213820819354838,npp
1_sundberg1997,1,sundberg1997,neutral,cyanobacteria + green algae,64.14,pulmonaria,40.55396862327563,0.00254792473548387,npp
1_sundberg1997,1,sundberg1997,neutral,cyanobacteria + green algae,64.14,pulmonaria,40.1332115564597,0.00278692606451612,npp
1_sundberg1997,1,sundberg1997,neutral,cyanobacteria + green algae,64.14,pulmonaria,39.7210957437971,0.00276131878064516,npp
1_sundberg1997,1,sundberg1997,neutral,cyanobacteria + green algae,64.14,pulmonaria,39.31735768778696,0.00282960485806451,npp
1_sundberg1997,1,sundberg1997,neutral,cyanobacteria + green algae,64.14,pulmonaria,38.92174449622782,0.00247110288387096,npp
1_sundberg1997,1,sundberg1997,neutral,cyanobacteria + green algae,64.14,pulmonaria,38.53401335397749,0.00182238503225806,npp
2_sundberg1997,2,sundberg1997,neutral,green algae,64.14,glauca,41.570904967043965,3.456983225806451e-4,npp
2_sundberg1997,2,sundberg1997,neutral,green algae,64.14,glauca,40.839409190745464,5.846996516129032e-4,npp
2_sundberg1997,2,sundberg1997,neutral,green algae,64.14,glauca,40.1332115564597,8.663797741935483e-4,npp
2_sundberg1997,2,sundberg1997,neutral,green algae,64.14,glauca,39.451022000851,8.066294322580644e-4,npp
1_tretiach1997,1,tretiach1997,neutral,green algae,45.39,baldensis,42.17524303670842,3.2053873741935484e-4,npp
1_tretiach1997,1,tretiach1997,neutral,green algae,45.39,baldensis,42.17524303670842,2.901674535483871e-4,npp
1_tretiach1997,1,tretiach1997,neutral,green algae,45.39,baldensis,42.17524303670842,2.7795929419354836e-4,npp
1_tretiach1997,1,tretiach1997,neutral,green algae,45.39,baldensis,42.17524303670842,2.5364879806451615e-4,npp
1_tretiach1997,1,tretiach1997,neutral,green algae,45.39,baldensis,42.022517188304626,2.4763611290322575e-4,npp
1_tretiach1997,1,tretiach1997,neutral,green algae,45.39,baldensis,42.17524303670842,2.354183322580645e-4,npp
