tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0011916952761290322,39.451022000851,21,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0011430358064516129,39.451022000851,21,gpp,tretiach1997,1
1_zotz1998,cyanobacteria,high,8,tomentosa,3.9140103780281695e-7,40.696188397511214,12,gpp,zotz1998,1
1_zotz1998,cyanobacteria,high,8,tomentosa,6.760563380281691e-7,40.41273940989142,14,gpp,zotz1998,1
1_zotz1998,cyanobacteria,high,8,tomentosa,1.06745737571831e-6,40.1332115564597,16,gpp,zotz1998,1
1_zotz1998,cyanobacteria,high,8,tomentosa,1.1089696071549298e-6,39.857524030741274,18,gpp,zotz1998,1
1_zotz1998,cyanobacteria,high,8,tomentosa,1.3876945885070425e-6,39.58559823145258,20,gpp,zotz1998,1
1_zotz1998,cyanobacteria,high,8,tomentosa,1.6723498890704228e-6,39.31735768778696,22,gpp,zotz1998,1
1_zotz1998,cyanobacteria,high,8,tomentosa,1.6130467011830986e-6,39.052727987717724,24,gpp,zotz1998,1
1_zotz1998,cyanobacteria,high,8,tomentosa,1.660489251267606e-6,38.79163670917708,26,gpp,zotz1998,1
1_zotz1998,cyanobacteria,high,8,tomentosa,1.7613046704225356e-6,38.53401335397749,28,gpp,zotz1998,1
1_zotz1998,cyanobacteria,high,8,tomentosa,1.915492957746479e-6,38.27978928434875,30,gpp,zotz1998,1
1_zotz1998,cyanobacteria,high,8,tomentosa,2.128984432676057e-6,38.028897661970575,32,gpp,zotz1998,1
1_kappen_2000,green algae,neutral,-72.18,frigida,4.664060251458002e-7,43.13348055188322,-4.112631045,gpp,kappen_2000,1
1_kappen_2000,green algae,neutral,-72.18,frigida,1.6827878732106338e-6,40.31719190669667,14.68051529,gpp,kappen_2000,1
1_kappen_2000,green algae,neutral,-72.18,frigida,1.0699821881390594e-6,42.35809546941839,0.812225944,gpp,kappen_2000,1
1_lange_1991,green algae,neutral,53.728189,portentosa,1.0092554114400001e-6,41.87089345679351,4,gpp,lange_1991,1
1_lange_1991,green algae,neutral,53.728189,portentosa,1.3996588417200002e-6,41.275184497778135,8,gpp,lange_1991,1
1_lange_1991,green algae,neutral,53.728189,portentosa,1.69053743436e-6,40.696188397511214,12,gpp,lange_1991,1
1_lange_1991,green algae,neutral,53.728189,portentosa,2.2503268120800003e-6,40.27249044438772,15,gpp,lange_1991,1
1_lange_1991,green algae,neutral,53.728189,portentosa,2.56865192124e-6,39.58559823145258,20,gpp,lange_1991,1
1_lange_1991,green algae,neutral,53.728189,portentosa,2.7616856115600003e-6,38.92174449622782,25,gpp,lange_1991,1
